# id	length	x	y	z	rot_z	rot_y	rot_x
0	0.15	0	0.6	0	0	0	0
1	0.15	0.6	0.6	0	0	0	0
2	0.15	0	0	0	0	0	0
3	0.15	0.6	0	0	0	0	0
100	0.09	0.2	0.6	0	0	0	0
101	0.09	0.4	0.6	0	0	0	0
102	0.09	0	0.4	0	0	0	0
103	0.09	0.2	0.4	0	0	0	0
104	0.09	0.4	0.4	0	0	0	0
105	0.09	0.6	0.4	0	0	0	0
106	0.09	0	0.2	0	0	0	0
107	0.09	0.2	0.2	0	0	0	0
108	0.09	0.4	0.2	0	0	0	0
109	0.09	0.6	0.2	0	0	0	0
110	0.09	0.2	0	0	0	0	0
111	0.09	0.4	0	0	0	0	0
4	0.15	1.2	0.6	0	0	0	0
5	0.15	1.8	0.6	0	0	0	0
6	0.15	1.2	0	0	0	0	0
7	0.15	1.8	0	0	0	0	0
200	0.05	1.44	0.6	0	0	0	0
201	0.05	1.56	0.6	0	0	0	0
202	0.05	1.32	0.48	0	0	0	0
203	0.05	1.44	0.48	0	0	0	0
204	0.05	1.56	0.48	0	0	0	0
205	0.05	1.68	0.48	0	0	0	0
206	0.05	1.2	0.36	0	0	0	0
207	0.05	1.32	0.36	0	0	0	0
208	0.05	1.44	0.36	0	0	0	0
209	0.05	1.56	0.36	0	0	0	0
210	0.05	1.68	0.36	0	0	0	0
211	0.05	1.8	0.36	0	0	0	0
212	0.05	1.2	0.24	0	0	0	0
213	0.05	1.32	0.24	0	0	0	0
214	0.05	1.44	0.24	0	0	0	0
215	0.05	1.56	0.24	0	0	0	0
216	0.05	1.68	0.24	0	0	0	0
217	0.05	1.8	0.24	0	0	0	0
218	0.05	1.32	0.12	0	0	0	0
219	0.05	1.44	0.12	0	0	0	0
220	0.05	1.56	0.12	0	0	0	0
221	0.05	1.68	0.12	0	0	0	0
222	0.05	1.44	0	0	0	0	0
223	0.05	1.56	0	0	0	0	0



