# id	length	x	y	z	rot_z	rot_y	rot_x
4	0.15	0	0.6	0	0	0	0
5	0.15	0.6	0.6	0	0	0	0
6	0.15	0	0	0	0	0	0
7	0.15	0.6	0	0	0	0	0
#200	0.05	1.44	0.6	0	0	0	0
#201	0.05	1.56	0.6	0	0	0	0
#202	0.05	1.32	0.48	0	0	0	0
#203	0.05	1.44	0.48	0	0	0	0
#204	0.05	1.56	0.48	0	0	0	0
#205	0.05	1.68	0.48	0	0	0	0
#206	0.05	1.2	0.36	0	0	0	0
#207	0.05	1.32	0.36	0	0	0	0
#208	0.05	1.44	0.36	0	0	0	0
#209	0.05	1.56	0.36	0	0	0	0
#210	0.05	1.68	0.36	0	0	0	0
#211	0.05	1.8	0.36	0	0	0	0
#212	0.05	1.2	0.24	0	0	0	0
#213	0.05	1.32	0.24	0	0	0	0
#214	0.05	1.44	0.24	0	0	0	0
#215	0.05	1.56	0.24	0	0	0	0
#216	0.05	1.68	0.24	0	0	0	0
#217	0.05	1.8	0.24	0	0	0	0
#218	0.05	1.32	0.12	0	0	0	0
#219	0.05	1.44	0.12	0	0	0	0
#220	0.05	1.56	0.12	0	0	0	0
#221	0.05	1.68	0.12	0	0	0	0
#222	0.05	1.44	0	0	0	0	0
#223	0.05	1.56	0	0	0	0	0



